project_name,starting_date,completion_date,fund_acronym,theme_name,total_amount,eu_cofinancing_amount,project_description,beneficiary_nuts_region,beneficiary_name,beneficiary_address,beneficiary_postal_code,beneficiary_city,amount,amount_kind,approval_date,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_person,beneficiary_url,cci_program_code,currency,eu_cofinancing_amount_eligible,eu_cofinancing_rate,final_payment_date,first_payment_date,funding_period,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_status,source,theme_code,third_party_amount,total_amount_applied,total_amount_eligible
Uddannelsesdreven innovation og værditilvækst,2010-09-01,2013-10-31,ESF,Udvikling af menneskelige ressourcer,4710676.33,2355338.17,"Projekt ¿Uddannelsesdreven innovation og værditilvækst¿ vil over en 3 årig periode arbejde praktisk med kompetenceudvikling indenfor innovation i samarbejde mellem erhvervsuddannelser og udvalgte lokale virksomheder som partnere i projektet, der vil være værter igennem 3-6 uger for mindre grupper af hhv. elinstallatør og leisure management studerende ved Center forErhvervsuddannelser Lolland Falster (CELF) som del af nye kursusforløb i innovation. De studerende skal her anvende deres viden på problemstillinger, der er relevante for virksomheder og branche i forbindelse med udvikling af uddannelsesområder. De studerende vil arbejde sammen med virksomhederne og præsentere caserapporter for innovation og udvikling, som virksomhederne vil være med til at evaluere på og kvalitetssikre i en dialog omkring kompetencebehov og samarbejdsmodeller for uddannelsesdreven innovation. De nye kurser skal give de studerende konkrete erfaringer med anvendelse af metoder og værktøjer for innovation og en generel udviklingsorientering i deres faglighed. Denne kan de studerende tage med sig i deres praktikforløb i virksomheder senere i studiet samt som medarbejdere efter afslutning af uddannelsen.Center for Landdistriktsforskning og Institut for Ledelse og Virksomhedsstrategi ved Syddansk Universitet (SDU) vil sammen tilrettelægge og gennemføre undervisningsforløbene samt følge og beskrive erfaringerne, således at projektet kan resultere i modeller for uddannelsesdreven innovation for virksomheder og uddannelsesinstitutioner. SDU vil endvidere bringe erfaringer og modeller i samspil med de deltagende kommuners erhvervsfremme og strategier.Projektet har flere formål: At udvikle erhvervsuddannelserne i samarbejde med erhvervslivet, at skabe attraktive erhvervsuddannelser, at fremme erhvervsskoler som videnressource og partner for innovation, at uddanne fremtidens kvalificerede og udviklingsorienterede medarbejdere med praktisk erfaring i innovationsprocesser, at skabe synergi og værditilvækst i Region Sjælland.",DANMARK,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster",Kringelborg Alle 7,4800,Nykøbing F,316703.0300709153243197988004,eu_cofinancing_amount,,DANMARK,DK,,Celf center erhvervsrettede falster for lolland uddannelse,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
DEXADEM,2009-11-20,2011-08-31,ERDF,Innovation og videndeling,4749800.69,1425380,"Projektets formål og hovedaktiviteter: Bølgeenergi har hidtil været kendetegnet ved mange små sporadiske forsøg, gennemført af enkelte projektejere, uden koordinering, og med meget små midler. Det har været een af årsagerne til de manglende resultater hidtil.Med udgangspunkt i det nye bølgeenergicenter i Hanstholm, og med en fokuseret indsats på at gennemføre et struktureret test og afprøvningsforløb under overvågning af Aalborg Universitet, anser deltagerne i DEXADEM projektet det for muligt at udvikle og dokumentere en ny teknologi, der vil være i stand til at høste energien i bølger til en konkurrencedygtig pris, og dermed skabe grundlaget for en ny industri, der i fortsættelse af vindmølleindustrien kan udvikle regionen.Ved at fokusere, og samle ressourcerne et sted, vil der via en regional satsning indenfor bølgeenergi, ligge meget store muligheder for at opbygge et nyt industrieventyr i stil med hvad vi har set omkring vindenergi. Men en forudsætning for at det lykkes er, at der tilføres de nødvendige ressourcer i takt med behovet opstår. Konsortiet bag DEXADEM er indstillet på, og har muligheden for selv at indskyde betydelige beløb i udviklingsprojektet, men det er klart, at offentlige midler i form af statslig og regional støtte, vil muliggøre en hurtigere udvikling end tilfældet vil være uden offentlig støtte i lighed med hvad vi ser i specielt England og Portugal.Det beskrevne projekt vil udover de konkrete målsatte resultater, kunne medvirke til betydelig kompetence¿ og viden opbygning i regionen, - ikke bare hos deltagerne i konsortiet, men også via den videndeling, der bliver offentlig tilgængelig via resultat rapporteringen fra Aalborg Universitet. I den første fase af udviklingsforløbet er der kun planlagt videndeling via Aalborg Universitet, men i næste fase, - altså den fase, hvor projektet arbejder med 1:1 skala forsøg, er der indgået aftaler med DMU i Århus, og Teknologisk Institut for at sikre styrke beregninger, materiale anvendelse og overfladebehandling. Endelig er der ¿ udover konsortiedeltagerne, - en række mindre virksomheder i regionen, som vil kunne drage nytte af i en tidlig fase at være med til at opsamle erfaring via de teknologiske udfordringer der opstår i takt med projektet skrider fremad.Der er altså tale om en betydelig integration mellem konsortiets deltagere, de involverede vidensinstitutioner og en række underleverandører i regionen. En integration der ¿ hvis projektet når frem til de forventede resultater ¿ vil få stor betydning for beskæftigelsen og udviklingen af området. Projektet hænger sammen med et andet projekt, som også hedder DEXADEM, se denne for at få et samlet overblik over det fulde projekt.",DANMARK,Dexa Wave Energy ApS,Enghaven 49,7500,Holstebro,191006.8213468729500909004670,eu_cofinancing_amount,,DANMARK,DK,,Aps dexa energy wave,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
"WindPowerTree - WPT den nye generation husstandsvindmølle, kaldet en vindkonverter",2009-09-24,2013-02-28,ERDF,Anvendelse af ny teknologi,4794365.8,2397182.9,"Formålet med projektet er at udnytte Danmarks førerposition inden for vindkraft, og komme med en ny generation husstandsvindmølle (WPT vindkonverteren), der er korrekt dimensioneret til energibehovene, og dermed kan blive en markedssucces. WPT vindkonverteren er et unikt markedstilpasset produkt, der har løst de 2 største handicap ved små vindmøller, som er de visuelle og støjmæssige problemer. WPT vindkonverteren har et nyt design, som klart udskiller sig fra andre små vindmøller. Rotordesignet er baseret på kendt vertikalakslet støjfri vindmølleteknologi. Designet har samtidig medført forbedret sikkerhed, mekanisk styrke og effekt - takket været brugen af avanceret elektronisk styring. Til d.d. har leverandører af mindre vindmøller brugt meget primitive halvmekaniske styringsløsninger, og det er her WPT kommer med en nyudviklet elektronisk styring af generatoren, der medfører bedre effektivitet og produktion. Ved at bruge seneste elektroniske løsninger vil vindkonverteren have mulighed for at kunne kommunikerer med fremtidens intelligente energisystemer i private husstande. Projektet formål er at færdigudvikle WPT vindkonverteren (en ny type vertikalakslet vindmølle) i tre modelstørrelser (WPT-3000, WPT-4500 og WPT-9000), og opnå dansk typegodkendelse af disse, sådan at markedsbehovet om forskellige størrelser kan dækkes. WPT projektet vil medføre en opbygning af teoretisk viden samt know-how, der i samspil med SDU vil styrke ekspertisen indenfor vertikalakslede vindmøller. Synergieffekter vil medfører nye løsninger og opfindelser, der kan danne grundlag for videre forskning og produktudvikling - også med andre virksomheder. WPT projektets partnere vil igennem projektet sammen oparbejde vigtig viden inden for projektets specialområde, og dette vil helt sikkert medføre andre ¿spin-off¿ produkter og løsninger, der vil styrke alle deltagere, og fører til behov for yderligere forskning og udvikling. Med dette projekt kan regionen skabe videnbaserede arbejdspladser og blive et videncenter for vindkonvertere (tidligere kaldet husstandsvindmøller). Det forventes efter fem år at der er en omsætning på rundt 120 mio. kr. hvoraf 55-60% forventes at være eksport - som svarer til 120 ansatte.",DANMARK,WindPowerTree ApS,Gotlandsvej 5,5700,Svendborg,320304.5041674537264646371870,eu_cofinancing_amount,,DANMARK,DK,,Aps windpowertree,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Energibyen Frederikshavn,2007-10-08,2011-06-30,ERDF,Innovation og videndeling,4865756.33,2432878.17,"Frederikshavn kommune har besluttet, at Frederikshavn by senest i 2015 skal være omstillet fra en energiforsyning overvejende baseret på fossile brændsler til en energiforsyning baseret udelukkende på vedvarende energi (VE). Projektet går under betegnelsen ¿Energibyen Frederikshavn¿.Frederikshavn ønsker at være modelby på VE-området ved at gå foran og finde løsninger på, hvordan et moderne bysamfund kan omstilles til en mere bæredygtig og vedvarende energiforsyning. Det nyskabende i projektet er, at der ikke tages udgangspunkt i enkelte VE-teknologier, men at der tages udgangspunkt i at skabe et 100% VE-system for et afgrænset geografisk område, hvor samspillet og synergien mellem de forskellige VE-teknologier er sat i fokus. Hvis denne omstilling skal gennemføres, skal der etableres et fagligt højt kvalificeret grundlag som forudsætning for de nødvendige offentlige og private investeringer i VE-anlæg, som til og med år 2015 kan beløbe sig til et sted mellem 1 og 2 mia. kr. alene for Frederikshavn-området. Ideen med dette projekt er at sikre denne kvalificering ved at inddrage Aalborg Universitets kompetencer dels til gennemregning af de mulige VE-scenarier for byen, dels ved at udarbejde en virtuel model, der kan håndtere kompleksiteten i et sådan 100% VE-system. Med henblik på at udvikle, definere og beskrive de mulige scenarier for Frederikshavn by som 100% VE, vil der i løbet af projektet blive afviklet konferencer for de mest betydende energiaktører i Skandinavien. Aktørernes rolle er at medvirke som ide-skabere og medspillere i forbindelse med udvikling af systemerne, således at der sikres en alsidighed med hensyn til eksisterende teknologier og teknologier under udvikling. Det model-værktøj, der udvikles gennem projektet, vil dels kunne anvendes i forbindelse med implementering af VE-systemer ¿ både nationalt og internationalt, dels anvendes til ¿ gennem den virtuelle model ¿ at inddrage borgere og lægfolk i sideløbende og/eller efterfølgende politiske processer omkring valg af VE-system. Projektet er således både rettet mod udvikling af nye værktøjer til VE-området til brug for rådgivere, projektmagere og andre professionelle aktører og mod den alment interesserede borger og forbruger.",DANMARK,Frederikshavn Kommune,Rådhus Alle 100,9900,Frederikshavn,326310.3864988325619319836646,eu_cofinancing_amount,,DANMARK,DK,,Frederikshavn kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Nye veje til Vækst Oplevelsesbaseret forretningsudvikling,2008-01-17,2011-03-01,ERDF,Innovation og videndeling,4884010.52,2442005.26,"Projektet ¿Nye veje til vækst¿ tager udgangspunkt i, at oplevelser er en megatrend, som vi kun lige har set begyndelsen på, og som bliver et af fremtidens vigtige konkurrenceparametre for danske virksomheder på tværs af brancher. Men mens der er mange der taler om oplevelsesøkonomi ¿ er der kun få der forsøger at komme med konkrete anvisninger til, hvordan virksomheder kan anvende oplevelsesøkonomien til konkret forretningsudvikling.Dette projekt vil, med udgangspunkt i den oplevelsesøkonomiske megatrend og virksomheders (SMV¿ers) aktuelle behov, inspirerer og guider virksomhederne igennem en proces, der vil sætte dem i stand til at udnytte oplevelsestendenserne i konkret forretningsudvikling og dermed træde ind i oplevelsesøkonomien med succes. Samtidig vil der i projektet blive udviklet en handlingsorienteret værktøjsmanual, som kan anvendes af regionale og lokale erhvervsfremmeaktører i fremtidens arbejde med at rådgive om oplevelser som strategisk værktøj i forretningsudvikling.Projektets bærende idé er gennemførelse af tre parallelle vækstgruppeforløb for virksomheder. Vækstgrupperne er et systematisk tilrettelagt udviklingsforløb, hvor en konsulent leder et udviklingsforløb. Processen kombinerer individuel sparring og rådgivning af deltagervirksomhederne med fælles workshops, der har målrettede temaer om, hvordan oplevelsesøkonomi kan anvendes konkret i virksomhedernes forretningsudvikling.Det er en central del af modellen, at deltagervirksomhederne udnytter fælles erfaringer og animerer hinanden i gennemførelsen af løsninger under vækstgruppeforløbet.En anden central del i vækstgruppeforløbet er, at de deltagende virksomheder skal gennemføre konkrete initiativer i egne virksomheder med udgangspunkt i vækstgruppeforløbets temaer og med specialiseret sparring fra et korps af eksperter/kreative konsulenter. Både det regionale og lokale erhvervsfremmesystem vil aktivt blive inddraget i vækstgruppeforløbene ¿ ligesom der vil være særligt forløb målrettet opkvalificering af erhvervsfremmesystemet.jf. vedhæftet projektbeskrivelse.",DANMARK,Silkeborg Kommune,Søvej 1,8600,Silkeborg,324973.2144521310085119053523,eu_cofinancing_amount,,DANMARK,DK,,Kommune silkeborg,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
SjællandAfrika,2011-01-01,2013-09-30,ERDF,Innovation og videndeling,4895920.38,2285020,"SjællandAfrika projektet understøtter sjællandske virksomheder i at se de kommercielle muligheder, der findes på de nye vækstmarkeder i Østafrika. De tre lande Kenya, Uganda og Tanzania, der udgør Østafrika oplever årlige vækstrater på 4-6 % og udgør et erhvervsmæssigt potentiale. Flere danske virksomheder klarer sig ekstraordinært godt i Østafrika. Projektet sigter på at sjællandske virksomheder skal få del i disse muligheder og bidrage til at skabe vækst og beskæftigelse både i Region Sjælland og i Østafrika.Projektet lægger rammerne for at virksomheder med potentiale ift. de østafrikanske markeder, bliver forberedt og modnet til at agere kommercielt i Østafrika. Dette vil foregå gennem Væksthus Sjællands virksomhedsrettede rådgivning, der gearer den enkelte virksomhed til vækst. Dernæst inddrages DIBD og Håndværksrådet med indgående kendskab til de østafrikanske markeder. Virksomhederne skal lære at udvikle forretningsmodeller, der er tilpasset de afrikanske, såkaldte lavindkomstmarkeder, hvor det enkelte individs købekraft nok er lav, men markedernes volumen er højt og efterspørgslen efter kvalitetsprodukter stor.SjællandAfrika projektet er et netværksskabende projekt, der samler viden og rådgivning om de østafrikanske markeder og kobler finansieringskilder i form af bl.a. Danidas støtteordninger og private og offentlige kapitalfonde til de virksomheder, der har potentiale og et strategisk mål om at satse på de østafrikanske markeder. Projektet fokuserer særligt på hhv. fødevare/landbrugssektoren og på energi/cleantech sektoren. Vækstforum har udpeget disse sektorer som nogle af Region Sjællands styrker. Samtidig udgør de store potentialer ift. Østafrika. Projektet skal brandes for at skabe opmærksomhed om mulighederne og synliggøre projektets fem partnere, der med dette projekt er på forkant med udviklingen, en ¿first-mover¿ blandt regionerne, der har et globalt udsyn som kan udnyttes til at skabe vækst til gavn for virksomhederne og borgerne i regionen.",DANMARK,Den Erhvervsdrivende Fond Væksthus Sjælland,Marienbergvej 132,4760,Vordingborg,306570.0677542111785461864670,eu_cofinancing_amount,,DANMARK,DK,,Den erhvervsdrivende fond sjaelland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Hanstholm Service,2010-10-04,2013-11-12,ESF,Innovation og videndeling,4898307.16,2441200,"Formålet med projekt Hanstholm Service er at give medarbejdere fra de medvirkende virksomheder indenfor maritim service de nødvendige kompetencer til at udvikle nye produkter og servicekoncepter. Helt afgørende er motivationen til også at anvende kompetencerne. Dette forudsætter et samarbejde imellem aktørerne i den samlede værdikæde for fisk og for fiskefartøjer. Samtidig skal uddannelsesforløbet være så konkret og målrettet disse virksomheder, at det tillærte nemt kan omsættes og anvendes direkte i deltagernes egne virksomheder og i tværgående samarbejdsprojekter mellem deltagerne. Der skal derfor gennemføres en fælles strategisk analyse af virksomhederne og udvikles et skræddersyet uddannelsesforløb bestående af 5-6 korte moduler med sigtet på alle faser af serviceinnovation. Uddannelsen skal involvere en række eksempler på serviceinnovation fra andre brancher, som kan overføres til maritim service. For at sikre implementeringen i virksomhederne støttes deltagerne af en mentor. Nærværende projektbeskrivelse er resultatet af forprojektet ""Kick Off Serviceprojekt Hanstholm"" som er gennemført med fokus på at udvikle en skitse til en fælles strategi for etablering af en bæredygtig erhvervsklynge indenfor den maritime serviceindustri. I forprojektet er der gennemført en analyse baseret på interviews af en række virksomheder og deres kunder. I bilag 8 er vedlagt en rapport om forprojektet, som dokumenterer dette arbejde og underbygger de indsatsområder, som denne projektansøgning omhandler. Indsatsområderne afspejles i de 4 projektfaser og hovedaktiviteterne (Hanstholm modellen). Der er således en lige linje mellem forprojektet og nærværende projekt. Forprojektets analyse af, hvad der kræves for at udvikle grundlaget for en stærk klynge indenfor maritim service til fiskeflåden viste behovet for flere grundlæggende ændringer i de forudsætninger, som lå til grund for budgettet. For at opbygge en blivende kernekompetence for klyngen efter afslutningen af selve projektet, blev det klart, at der var behov for at udvikle et lokalt forankret kompetenceforløb, som efter projektet kunne være uafhængigt af enkeltpersoner og eksterne konsulenter. Der vil desuden blive brug for mentorstøtte til at sikre, at den nye viden også blev anvendt i praksis. Det førte til beslutningen om at udvide projektet med en nyansat ½-tids projektleder, som også kan varetage mentoropgaven. Dette har øget budgettet med 1.040.000 kr. Tilsvarende kræves det, at virksomhederne afsætter meget mere tid end estimeret i 1. version af budgettet, for at de kan deltage i undervisningsmodulerne og i de tværgående samarbejdsprojekter. Dette vurderes som afgørende for, at klyngeaktiviteterne også bliver omsat til forretningsresultater i praksis. Hovedaktiviteterne i kronologisk orden er:1. Strategisk analyse af den maritime serviceindustri. 2. Udvikling af uddannelse i serviceinnovation og gennemførelse af fælles uddannelsesaktiviteter. 3. Virksomhedsspecifikke innovationsprojekter. 4. Tværgående samarbejdsprojekter om nye servicekoncepter. De forventede effekter for virksomhederne er vækst i omsætning, i indtjening og i beskæftigelse. For de direkte involverede virksomheder estimeres en vækst efter projektet på 10-20%. Erfaringsmæssigt er der en væsentlig højere indtjening på serviceprodukter end på fysiske produkter, så indtjeningsevnen vil forbedres markant. Beskæftigelsesmæssigt forventes projektet at skabe 75-90 nye jobs i subregionen herunder i udkantsområder. Direkte forventes 25-30 nye arbejdspladser i de medvirkende virksomheder og indirekte 50-60 nye arbejdspladser i andre dele af værdikæden herunder underleverandører. Desuden forventes det, at deltagelse i analysearbejdet og i den fælles uddannelse vil medføre, at der etableres en række udviklingssamarbejder imellem virksomheder og vidensinstitutioner, som ellers ikke ville finde sted.Effektmæssigt forventes det, at projektet vil være et nødvendigt grundlag for, at Hanstholm på sigt kan udvikles til et stærkt centrum for en klynge indenfor maritim service. Denne ønskede udvikling forudsætter, at der etableres kompetencer i virksomhederne, som kan bruges til at udvikle bedre produkter og nye services, som kan differentiere klyngen og virksomhederne i forhold til billigere konkurrenter. Projektet er altså helt afgørende for at lykkedes i forhold til de erhvervspolitiske intentioner indenfor maritim service.",DANMARK,Thy Erhvervsforum,Kai Lindbergs Gade 200,7730,Hanstholm,328249.6976890720240427334886,eu_cofinancing_amount,,DANMARK,DK,,Erhvervsforum thy,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Miljønetværkernes klimaprojekt for effektiv og intelligent energiudnyttelse,2008-04-01,2010-08-31,ERDF,Innovation og videndeling,4920273.14,2460136.57,"De 4 miljønetværk i Region Syddanmark (som udgør 4 af de 6 partnere i projektet) arbejder for miljøforbedringer i regionens virksomheder og institutioner. Metoden er et gensidigt forpligtende samarbejde mellem myndigheder og virksomheder. Omdrejningspunktet for samarbejdet er, at virksomhederne og institutionerne udarbejder miljøredegørelser som omfatter en status for virksomhedens miljøpåvirkninger, dens miljømålsætning samt en handlingsplan for nedsættelse af miljøbelastningen hvert 2. eller 3. år. Energiforbrug og nedsættelse heraf indgår i langt de fleste redegørelser som en integreret del af virksomhedens miljøarbejde. Projektet skal præsentere og videreudvikle metoden i forhold til energiforbrug og klimapåvirkning, og gennem et øget fokus bidrage til yderligere tiltag for reduktion af klimapåvirkninger. Projektets målsætning er, at alle miljønetværkenes medlemsvirksomheder i deres miljøredegørelser medtager mål for reduktion af energiforbrug og klimapåvirkning, at udvikle et enkelt værktøj til ¿klimatjek¿ for virksomheder, beroende på energieffektivisering og valg af de mest klimavenlige energikilder, at gøre konceptet med miljøredegørelser og dialogbaseret miljøarbejde mere tilgængeligt for andre interesserede, samt at gøre arbejdsmetoden synlig for omverdenen i forbindelse med klimakonferencen i 2009.Det ansøgte projekt har til formål at bidrage til at knække kurven for virksomheders og institutioners energiforbrug, ved at anvende redegørelseskonceptet til at sætte fokus på energiforbrugets klimabelastning frem til klimatopmødet ultimo 2009. De mange virksomheder og institutioner, der er vægtige aktører i projektet, sikrer en stor synlighed og god forankring af projektet. Et andet vigtigt element er på videnskabeligt grundlag at vurdere hvilke energimæssige tiltag, der også har en stor klimamæssig effekt ¿ dette udarbejdes i samarbejde med Syddansk Universitet (SDU). Endelig vil Aalborg Universitet (AAU) bidrage med en videnskabelig undersøgelse af, hvorfor og hvordan det dialogbaserede miljøsamarbejde mellem virksomheder og miljømyndigheder virker i praksis. Aktiviteterne består i: a) en række tiltag overfor virksomheder og institutioner, for at få fokus på energi- og klimaproblematikken i redegørelsesarbejdet, b) udarbejdelse af et ¿klimatjek¿ i samarbejde med SDU, c) eksempler på redegørelsesarbejdets virkning med hensyn til energiledelse, d) videnskabelig baseret udredning ¿ udført af AAU, om den dialogbaserede netværksmetode, e) en fælles præsentation af ¿klimatjek¿ og redegørelsesmetoden op til topmødet og f) Projektstyring, koordinering, evaluering samt regnskabsaflæggelse.",DANMARK,Green Network,Havneparken 2,7100,Vejle,328984.8457655339172099329126,eu_cofinancing_amount,,DANMARK,DK,,Green network,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Sporbarheds interface,2010-08-01,2012-12-31,ERDF,Innovation og videndeling,4921629.61,2460814.81,"Projektet har til formål at beskrive og udvikle interfaces mellem fødevarevirksomheder og FoodTag sporbarhedssystemet. Disse interfaces skal sikre en hurtig og effektiv integration af sporbarhedsdata.Som en parallel aktivitet igangsættes en dialog med relevante myndigheder omkring samkøring affødevaresikkerheds konstroldata i FoodTag. Projektet har ikke som mål at skabe egentlig dataspecifikation for denne myndighedsvinkel; men at belyse hovedområder, relevante data, barrierer og muligheder.Interface projektet involverer omkring 10 partnere og netværksdeltagere. Dette inkluderer kendte videninstitutioner hver med spidskompetencer indenfor formidling og fødevare udvikling. De deltagende private virksomheder repræsenterer et bredt spektrum af den nordjyske fødevarebranche.Når projektet er afsluttet efter 2 år vil der være udviklet nogle effektive interfaces og virksomhederne vil være daglige brugere af FoodTag med alle de muligheder dette sporbarhedssystem giver for at markedsføre og dokumentere virksomheden som en kvalitetsbetonet, lokalt forankret men ekspansiv og eksportorienteret spiller på fødevaremarkedet.",DANMARK,Den Erhvervsdrivende Fond Nordjysk Fødevare Netværk,Messevej 1 A,9600,Aars,331321.8982910107847694550220,eu_cofinancing_amount,,DANMARK,DK,,Den erhvervsdrivende fodevare fond netvaerk nordjysk,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
SMV Kompetenceudvikling,2007-06-26,2010-07-31,ESF,Udvikling af menneskelige ressourcer,4965278.21,2237052.21,"Vi vil styrke SMV´ernes konkrete ledelseskompetencer inden for HR via efteruddannelse og netværk for at sætte dem i stand til at foretage systematisk behovsafklaring og uddannelsesplanlægning i de enkelte virksomheder. Desuden styrkes samarbejdet imellem de involverede virksomheder, erhvervsråd og lokale uddannelsesinstitutioner. Projektideen er at følge virksomhederne vanlige udviklingsmønster med etablering af en ""mini HR-funktion"" placeret hos en betroet medarbejder, der har vist flair og interesse for området. Projektet mål er at facilitere denne person, og dermed virksomheden, således at denne vækstsbarriere bliver succesfuldt overvundet.Projektet gennemføres i erhvervsudviklingsområderne: Esbjerg, Hadeslev, Middelfart og Varde.Der deltager i alt 80 SMV virksomheder i projektet.",DANMARK,JobInVest A/S,Vestkraftgade 1,6700,Esbjerg,300503.3564940399883002464243,eu_cofinancing_amount,,DANMARK,DK,,A jobinvest s,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Kapitalformidling til vækstpotentielle iværksættere og virksomheder i Region Midtjylland,2008-12-01,2011-01-31,ERDF,Etab. og udvikling af nye virksomh.,4975322.32,2487661.16,"Vækst og udvikling hænger tæt sammen med tilførsel af kapital og kompetencer. Kapitalformidling er et vigtigt emne i den forbindelse og skal styrkes i region Midtjylland. Manglende muligheder for tilførsel af kapital og kompetencer må ikke være en hindring for vækst og udvikling i regionens erhvervsliv. Af få tilført risikovillig kapital kræver imidlertid god forberedelse ¿ også fra iværksætteren. Dette projekt skal være med til at fremme et velfungerende marked for risikovillig kapital, således at der i højere grad sker et vellykket match mellem iværksætter og investor. Projektet omfatter følgende hovedaktiviteter:¿ Regional og lokal forankring af Vækstfondens produkter¿ Udvikling af et investor-readiness program for iværksætterne¿ Fremme af Business Angels investeringer",DANMARK,Væksthus Midtjylland,Åbogade 15,8200,Århus N,334675.8551103161915144212912,eu_cofinancing_amount,,DANMARK,DK,,Midtjylland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Industriinkubatorer - fremtidens industri i Region Midtjylland,2013-05-22,2015-02-28,ERDF,Innovation og videndeling,4980291.61,2489241.91,"Projektes mål er at udvikle og beskrive et fremadrettet implementeringsprogram for, hvordan vi skaber sammenhæng og koordination mellem Region Midtjyllands forskellige industriinkubatormiljøer, og mellem inkubatormiljøerne og de øvrige aktører der arbejder med produktionsvirksomheder i Regionen. Samtidig vil projektet skabe en plan for, hvordan vi styrker samarbejdet mellem de videregående uddannelser og produktionsvirksomhederne og en plan for, hvordan vi kan udfolde koncepter for vækstfremmende aktiviteter, alt sammen med hovedfokus på at skabe vækstløft til små og mellemstore produktionsvirksomheder - og iværksættere. Projektet vil samle en bred vifte af interessenter (universiteter, GTS'er, lokal erhvervsservice, kommuner, erhvervsskoler, innovationsmiljøer, væksthuset og regionen) i arbejdet med at udvikle operationelle og værdiskabende koncepter for industriinkubationsmiljøer, erhvervsserviceaktiviteter indeholdt i inkubationsmiljøerne, infrastruktur på regionalt plan mellem aktører, og vidensflow mellem vidensinstitutioner og virksomheder. Arbejdet er opdelt i fem konceptaktiviteter: Forskning og viden, Teknologi og proces, Fysiske miljøer og synergier, træning og intelligent finansiering og forretningsmodeller og afsætning. Projektets mål er at skabe kvalificeret beslutningsgrundlag for en fremtidig fokuseret indsats med at udvikle og bevare en konkurrencedygtig, teknologiudviklet og globaliseret produktion i Danmark.",DANMARK,Hedensted Kommune,Niels Espes Vej 8,8722,Hedensted,333519.6368144383339752964690,eu_cofinancing_amount,,DANMARK,DK,,Hedensted kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Oplev Vækst - udvikling af stedbundne oplevelser,2013-02-04,2014-12-31,ERDF,Innovation og videndeling,5023585.5,2511792.75,"Baggrunden for dette projekt er interessentanalyse gennemført af Vækstforum som et beslutningsgrundlag for prioritering af en fælles indsats indenfor nordjysk turisme og oplevelsesøkonomi.Formålet med et nordjysk program for oplevelsesbaseret vækst er at kapitalisere på de investeringer i oplevelsesøkonomisk udvikling, der allerede igennem en årrække er foretaget i Nordjylland. Der er her gennem de senest år skabt en værdifuld platform af viden, netværk og erfaringer med formidling og udvikling. Kapitaliseringen sker ved at sættes fokus på strategi- og forretningsudvikling. Det handler om at arbejdet med oplevelseserhvervene bliver konkret og forretningsorienteret. Samtidig med at der udvikles bedre sammenhæng mellem turismen som erhverv og kulturområdet som de indholdsproducerende.Signalet fra evalueringer og interessentanalyser er imidlertid også, at der er behov for at fokusere indsatsen. Aktørmæssigt er det især de etablerede netværk og kanaler, der skal prioriteres. Indholdsmæssigt skal der ske en drejning væk fra det brede og introducerende over mod det dybe og mere forpligtende.Eller sagt med andre ord: Hvor der hidtil i høj grad har været fokus på hvad der ligger i oplevelsesøkonomien, skal der fremover fokuseres på hvordan aktørerne skaber større økonomisk værdi gennem oplevelser.",DANMARK,Turistudviklingsfonden Nordjylland,Skeelslundvej 99,9440,Aabybro,336692.4144126358869111223515,eu_cofinancing_amount,,DANMARK,DK,,Nordjylland turistudviklingsfonden,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
