Gruppierung Bezeichnung;Produktbereich;Produktbereich Bezeichnung;Produktgruppe;Produktgruppe Bezeichnung;Haushaltsjahr;Ertrag / Aufwand; €
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2016;A;4413000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2017;A;4238000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2018;A;5248000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2019;A;5226000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.01;Brandschutz;2020;A;5384000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2015;A;142626,12
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2016;A;182000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2017;A;169000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2018;A;169000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2019;A;169000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.02;Leitstelle;2020;A;169000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2015;A;325215,30
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2016;A;381000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2017;A;386000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2018;A;491000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2019;A;516000,00
Abschreibungen;12;Brandschutz und Rettungsdienst;12.03;Rettungsdienst;2020;A;544000,00
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2015;A;671583,26
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2016;A;5602000,00
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2017;A;3133000,00
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2018;A;8661000,00
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2019;A;9675000,00
Abschreibungen;13;Stadtplanung;13.01;Stadtplanung;2020;A;12076000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2015;A;82300,35
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2016;A;71000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2017;A;70000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2018;A;64000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2019;A;55000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.01;Vermessungen;2020;A;46000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2015;A;270350,10
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2016;A;168000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2017;A;178000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2018;A;166000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2019;A;180000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.02;Geoinformation;2020;A;193000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2015;A;2615,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2016;A;36000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2017;A;27000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2018;A;45000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2019;A;47000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.03;Bodenordnung;2020;A;49000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2015;A;1605,88
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2016;A;2000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2017;A;2000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2018;A;2000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2019;A;3000,00
Abschreibungen;14;Geoinformation und Grundstücksordnung;14.04;Immobilienconsulting und -bewertung;2020;A;4000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2015;A;90685,78
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2016;A;94000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2017;A;84000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2018;A;112000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2019;A;117000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.01;Bauaufsicht;2020;A;122000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2015;A;14235,18
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2016;A;11000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2017;A;12000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2018;A;14000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2019;A;12000,00
Abschreibungen;15;Bauaufsicht und Denkmalschutz;15.02;Denkmalschutz und -pflege;2020;A;8000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2015;A;212,67
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2016;A;1093000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2017;A;943000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2018;A;1736000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2019;A;1796000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.01;Erschließung;2020;A;1798000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2015;A;2975148,18
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2016;A;2535000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2017;A;3336000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2018;A;3776000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2019;A;4004000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.02;Verwendung Stellplatzablöse;2020;A;4104000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2015;A;58626882,29
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2016;A;58444000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2017;A;57157000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2018;A;57631000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2019;A;56530000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.03;Verkehrsanlagen;2020;A;55182000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2015;A;3668327,97
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2016;A;3244000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2017;A;3059000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2018;A;2827000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2019;A;2582000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.06;Verkehrseinrichtungen;2020;A;2744000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2015;A;6784,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2016;A;7000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2017;A;7000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2018;A;7000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2019;A;4000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.08;Parkierungseinrichtungen;2020;A;2000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2015;A;20654234,90
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2016;A;22015000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2017;A;23451000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2018;A;23917000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2019;A;24760000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.11;Förderung Öffentl. Personennahverkehr;2020;A;26893000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2015;A;35834,48
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2016;A;58000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2017;A;30000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2018;A;40000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2019;A;40000,00
Abschreibungen;16;Nahverkehr und ÖPNV;16.12;Verkehrsplanung ;2020;A;44000,00
Abschreibungen;17;Wohnen;17.01;Wohnen;2015;A;185112,74
Abschreibungen;17;Wohnen;17.01;Wohnen;2016;A;117000,00
Abschreibungen;17;Wohnen;17.01;Wohnen;2017;A;108000,00
Abschreibungen;17;Wohnen;17.01;Wohnen;2018;A;93000,00
Abschreibungen;17;Wohnen;17.01;Wohnen;2019;A;91000,00
Abschreibungen;17;Wohnen;17.01;Wohnen;2020;A;72000,00
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2015;A;3725688,43
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2016;A;3043000,00
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2017;A;3925000,00
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2018;A;5086000,00
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2019;A;5294000,00
Abschreibungen;18;Soziales;18.01;Leistungen des Jugend- und Sozialamtes;2020;A;5317000,00
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2015;A;275879,91
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2016;A;232000,00
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2017;A;231000,00
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2018;A;274000,00
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2019;A;283000,00
Abschreibungen;19;Gesundheit;19.01;Infektiologie;2020;A;300000,00
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2015;A;15761,16
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2016;A;11000,00
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2017;A;10000,00
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2018;A;9000,00
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2019;A;8000,00
Abschreibungen;19;Gesundheit;19.02;Medizinische Dienste und Hygiene;2020;A;6000,00
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2015;A;16552,30
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2016;A;8000,00
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2017;A;11000,00
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2018;A;11000,00
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2019;A;10000,00
Abschreibungen;19;Gesundheit;19.03;Kinder- und Jugendmedizin;2020;A;8000,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2015;A;1533,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2016;A;1000,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2017;A;1000,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2018;A;0,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2019;A;0,00
Abschreibungen;19;Gesundheit;19.04;Psychiatrie;2020;A;0,00
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2015;A;2991,89
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2016;A;3000,00
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2017;A;4000,00
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2018;A;7000,00
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2019;A;7000,00
Abschreibungen;19;Gesundheit;19.05;Drogen-, Sucht- und Präventionsthemen;2020;A;7000,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2015;A;2055444,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2016;A;1617000,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2017;A;1555000,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2018;A;1486000,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2019;A;4782000,00
Abschreibungen;19;Gesundheit;19.06;Städt. Kliniken Frankfurt a.M.-Höchst;2020;A;7217000,00
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2015;A;31789688,54
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2016;A;29411000,00
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2017;A;37006000,00
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2018;A;37777000,00
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2019;A;41424000,00
Abschreibungen;20;Bildung;20.01;Schulbetriebsmanagement/pädag. Aufgaben;2020;A;49057000,00
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2015;A;2269649,32
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2016;A;3400000,00
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2017;A;4766000,00
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2018;A;5453000,00
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2019;A;5870000,00
Abschreibungen;20;Bildung;20.02;Betrieb städtischer Kitas;2020;A;6097000,00
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2015;A;11829511,86
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2016;A;15170000,00
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2017;A;15701000,00
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2018;A;17552000,00
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2019;A;17614000,00
Abschreibungen;20;Bildung;20.03;Trägerübergreifende Kita-Aufgaben, Tagespflege;2020;A;17596000,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2015;A;19267,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2016;A;19000,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2017;A;19000,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2018;A;19000,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2019;A;19000,00
Abschreibungen;20;Bildung;20.04;Jugend- und Erwachsenenbildung, Kinderbüro;2020;A;19000,00
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2015;A;588324,18
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2016;A;534000,00
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2017;A;743000,00
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2018;A;987000,00
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2019;A;1018000,00
Abschreibungen;20;Bildung;20.07;Angebote der Stadtbücherei;2020;A;1061000,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2015;A;6337,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2016;A;6000,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2017;A;7000,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2018;A;8000,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2019;A;9000,00
Abschreibungen;20;Bildung;20.13;Frankfurter Kinderbüro;2020;A;10000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2015;A;2234208,66
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2016;A;2946000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2017;A;2809000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2018;A;3310000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2019;A;3373000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.01;Kulturelle Dienstleistungen und Projekte;2020;A;3369000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2015;A;1572013,18
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2016;A;1593000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2017;A;1564000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2018;A;1770000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2019;A;1738000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.05;Zoologischer Garten Frankfurt;2020;A;1710000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2015;A;2096120,74
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2016;A;2224000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2017;A;2133000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2018;A;2412000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2019;A;2480000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.12;Städtische Bühnen;2020;A;2555000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2015;A;1758143,82
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2016;A;1767000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2017;A;1787000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2018;A;1895000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2019;A;1951000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.14;Sporthallen;2020;A;1916000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2015;A;4465305,55
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2016;A;4590000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2017;A;5190000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2018;A;6015000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2019;A;6403000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.15;Sportstätten und Sportstättenvergabe;2020;A;6707000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2015;A;255919,18
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2016;A;308000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2017;A;356000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2018;A;551000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2019;A;551000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.16;Sportförderung;2020;A;551000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.18;Archäologisches Museum;2015;A;178238,05
Abschreibungen;21;Kultur, Freizeit und Sport;21.18;Archäologisches Museum;2016;A;170000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.18;Archäologisches Museum;2017;A;167000,00
Abschreibungen;21;Kultur, Freizeit und Sport;21.18;Archäologisches Museum;2018;A;169000,00
